index,project_name,address,floor_area_sqm,type_of_land,contract_date,property_type,tenure,completion_date,type_of_sale,postal_district,postal_sector,postal_code,region,area,month,latitude,longitude,floor_num,unit_num,price
4043,EASTPOINT GREEN,5 Simei Street 3  #02-02 ,89,Strata,20-Sep-2017,Condominium,99 Yrs From 24/04/1996,1999,Resale,18,52,529892,East Region,Tampines,2017-9,1.33853513985,103.95034358299999,2.0,2.0,783797
4044,CLEMENTI PARK,119 Sunset Way  #03-07 ,167,Strata,20-Sep-2017,Condominium,Freehold,1983,Resale,21,59,597151,West Region,Clementi,2017-9,1.32847468455,103.765954963,3.0,7.0,1838416
4045,RIVERSAILS,2 Upper Serangoon Crescent  #18-03 ,215,Strata,20-Sep-2017,Condominium,99 Yrs From 07/12/2011,2016,Resale,19,53,534035,North East Region,Hougang,2017-9,1.37811901225,103.902297389,18.0,3.0,1795395
4046,N.A.,11 Lorong 4 Realty Park ,278,Land,20-Sep-2017,Terrace House,999 Yrs From 01/09/1876,Unknown,Resale,19,53,536910,North East Region,Hougang,2017-9,1.3685721430000002,103.865898554,,,2683604
4047,N.A.,5 Lorong 4 Realty Park ,200,Land,20-Sep-2017,Terrace House,999 Yrs From 01/09/1876,Unknown,Resale,19,53,536904,North East Region,Hougang,2017-9,1.36846813695,103.865898554,,,2301896
4048,BALLOTA PARK CONDOMINIUM,150 Mariam Way  #04-07 ,133,Strata,20-Sep-2017,Condominium,Freehold,2000,Resale,17,50,507079,East Region,Pasir Ris,2017-9,1.35865531574,103.96876428899999,4.0,7.0,956162
4049,MONTEBLEU,8 Minbu Road  #18-02 ,137,Strata,20-Sep-2017,Condominium,Freehold,2010,Resale,11,30,308162,Central Region,Novena,2017-9,1.3237816826100002,103.85009268600001,18.0,2.0,1988626
4050,ORCHARD BEL AIR,245 Orchard Boulevard  #05-02 ,300,Strata,20-Sep-2017,Condominium,99 Yrs From 01/08/1980,1984,Resale,10,24,248648,Central Region,River Valley,2017-9,1.30228239906,103.824965859,5.0,2.0,4464251
4051,HAPPY ESTATE,22 Thomson View ,375,Land,20-Sep-2017,Semi-Detached House,Freehold,1984,Resale,20,57,574521,North East Region,Ang Mo Kio,2017-9,1.37701206564,103.865898554,,,3813978
4052,BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #22-04 ,174,Strata,20-Sep-2017,Apartment,99 Yrs From 18/09/1979,Unknown,Resale,21,58,588177,Central Region,Bukit Timah,2017-9,1.34241264086,103.776539384,22.0,4.0,1433145
4053,BEVERLY HILL,61 Grange Road  #15-04 ,351,Strata,20-Sep-2017,Condominium,Freehold,1983,Resale,10,24,249570,Central Region,Tanglin,2017-9,1.29843887776,103.82556504799999,15.0,4.0,6484944
4054,EVERGREEN PARK,37 Hougang Avenue 7  #03-02 ,115,Strata,20-Sep-2017,Apartment,99 Yrs From 01/10/1995,1999,Resale,19,53,538803,North East Region,Hougang,2017-9,1.36946454528,103.899569051,3.0,2.0,833903
4055,EUHABITAT,202 Jalan Eunos  #02-42 ,84,Strata,20-Sep-2017,Condominium,99 Yrs From 06/12/2010,2015,Resale,14,41,419545,East Region,Bedok,2017-9,1.3284858727600002,103.90648367799999,2.0,42.0,1039664
4056,N.A.,81B Lorong 8 Geylang ,111,Strata,20-Sep-2017,Apartment,Freehold,Unknown,Resale,14,39,399143,Central Region,Geylang,2017-9,1.3094302009999998,103.865898554,,,764322
4057,THOMSON GARDEN ESTATE,116 Jalan Pintau ,82,Land,20-Sep-2017,Terrace House,Freehold,Unknown,Resale,20,57,577158,Central Region,Bishan,2017-9,1.35507681984,103.840496172,,,1262580
4058,HILLVIEW GARDEN ESTATE,2D Jalan Remaja ,169,Land,20-Sep-2017,Terrace House,Freehold,1990,Resale,23,66,668667,West Region,Bukit Batok,2017-9,1.3579235386500002,103.76096430700001,,,2323327
4059,PARC EMILY,9 Mount Emily Road  #01-22 ,115,Strata,20-Sep-2017,Condominium,Freehold,2008,Resale,9,22,228492,Central Region,Rochor,2017-9,1.3035670122,103.848733778,1.0,22.0,1973565
4060,MOUNT FABER LODGE,27 Mount Faber Road  #03-17 ,241,Strata,20-Sep-2017,Condominium,Freehold,1983,Resale,4,9,99200,Central Region,Bukit Merah,2017-9,1.26840918471,103.824656415,3.0,17.0,3007970
4061,ESTE VILLA,25C Nim Road ,317,Strata,20-Sep-2017,Terrace House,Freehold,2013,Resale,28,80,805288,North East Region,Serangoon,2017-9,1.38193240974,103.865898554,,,2177651
4062,HILLSTA,68 Phoenix Road  #06-08 ,49,Strata,20-Sep-2017,Condominium,99 Yrs From 03/10/2011,2016,Resale,23,66,668202,West Region,Bukit Batok,2017-9,1.3769614842700002,103.75633890600001,6.0,8.0,634196
4063,WATERVIEW,85 Tampines Avenue 1  #04-26 ,73,Strata,20-Sep-2017,Condominium,99 Yrs From 16/06/2010,2014,Resale,18,52,528687,East Region,Tampines,2017-9,1.3487538424799999,103.926337529,4.0,26.0,785744
4064,GABRIEL VILLAS,30A Serangoon Avenue 1 ,238,Land,20-Sep-2017,Terrace House,99 Yrs From 01/05/1993,1995,Resale,19,55,556148,North East Region,Serangoon,2017-9,1.34724598539,103.87716077200001,,,1927197
4065,THE TROPICA,53 Tampines Avenue 1  #15-02 ,114,Strata,20-Sep-2017,Condominium,99 Yrs From 04/12/1996,2000,Resale,18,52,529772,East Region,Tampines,2017-9,1.34822838393,103.928107971,15.0,2.0,995024
4066,THE EDEN AT TAMPINES,31 Tampines Street 34  #03-33 ,115,Strata,20-Sep-2017,Executive Condominium,99 Yrs From 12/09/2000,2003,Resale,18,52,529237,East Region,Tampines,2017-9,1.35507245204,103.959597125,3.0,33.0,911153
4067,HIGHGATE,68 Toh Tuck Road  #04-07 ,138,Strata,20-Sep-2017,Condominium,Freehold,1995,Resale,21,59,596733,Central Region,Bukit Timah,2017-9,1.3414087144700002,103.766341619,4.0,7.0,1472759
4068,POSHGROVE EAST,331 East Coast Road  #04-08 ,115,Strata,19-Sep-2017,Condominium,Freehold,2008,Resale,15,42,429100,East Region,Bedok,2017-9,1.30904665906,103.90943488200001,4.0,8.0,1548500
4069,LANGSTON VILLE,15 Kim Yam Road  #08-04 ,88,Strata,19-Sep-2017,Apartment,999 Yrs From 01/07/1841,2000,Resale,9,23,239328,Central Region,River Valley,2017-9,1.29487207752,103.83901923399999,8.0,4.0,1289920
4070,FORESQUE RESIDENCES,101 Petir Road  #14-02 ,69,Strata,19-Sep-2017,Condominium,99 Yrs From 10/01/2011,2014,Resale,23,67,678272,West Region,Bukit Panjang,2017-9,1.3690159234700001,103.776424978,14.0,2.0,880754
4071,SEAHILL,121 West Coast Crescent  #20-13 ,49,Strata,19-Sep-2017,Condominium,99 Yrs From 26/09/2011,2016,Resale,5,12,126778,West Region,Clementi,2017-9,1.2989073188200002,103.763869414,20.0,13.0,891903
4072,STUDIOS @ MARNE,2 Marne Road  #06-04 ,48,Strata,19-Sep-2017,Apartment,Freehold,2010,Resale,8,20,208393,Central Region,Kallang,2017-9,1.31291744063,103.856916737,6.0,4.0,704854
4073,THE MILTONIA RESIDENCES,520 Miltonia Close  #03-07 ,48,Strata,19-Sep-2017,Condominium,99 Yrs From 30/11/2010,2014,Resale,27,76,768104,North Region,Yishun,2017-9,1.4175200000000001,103.847729,3.0,7.0,563372
4074,MIMOSA PARK,57 Mimosa Road  #09-59 ,200,Strata,19-Sep-2017,Condominium,Freehold,1979,Resale,28,80,808014,North East Region,Serangoon,2017-9,1.3828224648700003,103.86253698200001,9.0,59.0,1734232
4075,AMARYLLIS VILLE,20 Newton Road  #19-06 ,157,Strata,19-Sep-2017,Condominium,99 Yrs From 24/10/1997,2004,Resale,11,30,307953,Central Region,Novena,2017-9,1.3146249528,103.841423062,19.0,6.0,2316180
4076,RIVERGATE,93 Robertson Quay  #11-01 ,167,Strata,19-Sep-2017,Apartment,Freehold,2009,Resale,9,23,238255,Central Region,Singapore River,2017-9,1.2917233370299999,103.83697401399999,11.0,1.0,3566193
4077,76 SHENTON,76 Shenton Way  #08-06 ,55,Strata,19-Sep-2017,Apartment,99 Yrs From 12/04/2007,2014,Resale,2,7,79119,Central Region,Downtown Core,2017-9,1.2734803878899998,103.84556526200001,8.0,6.0,1006568
4078,SANCTUARY GREEN,181 Tanjong Rhu Road  #06-17 ,126,Strata,19-Sep-2017,Condominium,99 Yrs From 17/03/1997,2004,Resale,15,43,436922,Central Region,Kallang,2017-9,1.2959548140000001,103.87167607200001,6.0,17.0,1496284
4079,N.A.,2 East Coast Terrace ,2395,Land,19-Sep-2017,Detached House,Freehold,Unknown,Resale,15,45,458913,East Region,Bedok,2017-9,1.31004752192,103.865898554,,,40952548
4080,ENVIO,281 Joo Chiat Place  #05-02 ,198,Strata,19-Sep-2017,Apartment,Freehold,2010,Resale,15,42,427962,East Region,Bedok,2017-9,1.31488057924,103.90750377,5.0,2.0,1910882
4081,VOLARI,12 Balmoral Road  #11-07 ,123,Strata,19-Sep-2017,Condominium,Freehold,2012,Resale,10,25,259820,Central Region,Newton,2017-9,1.31488980011,103.83292814100001,11.0,7.0,3031859
4082,AQUARIUS BY THE PARK,19 Bedok Reservoir View  #06-01 ,83,Strata,19-Sep-2017,Condominium,99 Yrs From 12/06/1996,2000,Resale,16,47,478935,East Region,Bedok,2017-9,1.3372564778799998,103.93613044,6.0,1.0,760684
4083,THE STERLING,1001 Bukit Timah Road  #07-11 ,173,Strata,19-Sep-2017,Condominium,Freehold,2000,Resale,21,59,596288,Central Region,Bukit Timah,2017-9,1.33575596623,103.782110386,7.0,11.0,2331525
4084,EIGHT RIVERSUITES,2 Whampoa East  #14-06 ,91,Strata,19-Sep-2017,Condominium,99 Yrs From 11/07/2011,2016,Resale,12,33,338517,Central Region,Kallang,2017-9,1.32220610344,103.86420664200001,14.0,6.0,1287412
4085,CASA ESPANIA,19 Gambir Walk  #01-01 ,154,Strata,19-Sep-2017,Apartment,Freehold,1991,Resale,19,53,538978,North East Region,Serangoon,2017-9,1.34483244124,103.875348727,1.0,1.0,1387658
4086,RIO GARDENS,55B Jalan Taman  #05-05 ,111,Strata,19-Sep-2017,Apartment,Freehold,2005,Resale,12,32,329001,Central Region,Kallang,2017-9,1.3266280934899999,103.864463124,5.0,5.0,1199743
4087,GRAMERCY PARK,57 Grange Road  #20-08 ,201,Strata,19-Sep-2017,Condominium,Freehold,2016,Resale,10,24,249569,Central Region,Tanglin,2017-9,1.2983710257899999,103.82642846,20.0,8.0,6124901
4088,HORIZON RESIDENCES,41 Pasir Panjang Hill  #05-06 ,87,Strata,19-Sep-2017,Condominium,Freehold,2014,Resale,5,11,118862,Central Region,Queenstown,2017-9,1.2820051428299999,103.784452115,5.0,6.0,1382652
4089,VIDA,5 Peck Hay Road  #07-04 ,49,Strata,19-Sep-2017,Apartment,Freehold,2009,Resale,9,22,228307,Central Region,Newton,2017-9,1.30853889227,103.83908981799999,7.0,4.0,1066940
4090,THE NAUTICAL,95 Jalan Sendudok  #04-52 ,92,Strata,19-Sep-2017,Condominium,99 Yrs From 29/08/2011,2015,Resale,27,76,769473,North Region,Sembawang,2017-9,1.4432636453100003,103.824753198,4.0,52.0,992199
4091,TANAH MERAH GREEN,45 Tanah Merah Kechil Rise ,192,Land,19-Sep-2017,Terrace House,99 Yrs From 17/03/1997,2000,Resale,16,46,465622,East Region,Bedok,2017-9,1.3302208485,103.945243816,,,2024178
4092,SUITES@ KATONG,263 Tanjong Katong Road  #04-08 ,60,Strata,19-Sep-2017,Apartment,Freehold,2012,Resale,15,43,437050,Central Region,Marine Parade,2017-9,1.3076225882799999,103.89559486899999,4.0,8.0,910919
4093,STRATTON GREEN,18A Nim Green ,240,Land,19-Sep-2017,Terrace House,Freehold,2003,Resale,28,80,807638,North East Region,Serangoon,2017-9,1.38256647984,103.86567732799999,,,2675566
4094,POH HUAT GARDENS,37 Poh Huat Crescent ,209,Land,19-Sep-2017,Terrace House,999 Yrs From 11/06/1883,1989,Resale,19,54,546870,North East Region,Hougang,2017-9,1.3680605264399999,103.865898554,,,2174832
4095,THE CREST,105 Prince Charles Crescent  #16-18 ,148,Strata,19-Sep-2017,Condominium,99 Yrs From 21/12/2012,2017,Resale,3,15,159019,Central Region,Bukit Merah,2017-9,1.2928192090200001,103.81929313799999,16.0,18.0,2662646
4096,THE MERLOT,101 Keng Lee Road  #05-03 ,102,Strata,19-Sep-2017,Apartment,Freehold,2009,Resale,8,21,219261,Central Region,Kallang,2017-9,1.31425347318,103.8463344,5.0,3.0,1271731
4097,N.A.,95 Lorong H Telok Kurau ,424,Land,19-Sep-2017,Semi-Detached House,Freehold,1989,Resale,15,42,426114,East Region,Bedok,2017-9,1.316933295,103.865898554,,,4198600
4098,TREE HOUSE,68 Chestnut Avenue  #09-18 ,114,Strata,19-Sep-2017,Condominium,99 Yrs From 23/11/2009,2013,Resale,23,67,679521,West Region,Bukit Panjang,2017-9,1.3705711383799999,103.77712323799999,9.0,18.0,1215318
4099,EUHABITAT,190 Jalan Eunos  #02-09 ,94,Strata,19-Sep-2017,Condominium,99 Yrs From 06/12/2010,2015,Resale,14,41,419539,East Region,Bedok,2017-9,1.3284858727600002,103.90648367799999,2.0,9.0,1131007
4100,N.A.,33 Jalan Grisek ,290,Land,19-Sep-2017,Terrace House,Freehold,1994,Resale,14,41,419465,East Region,Bedok,2017-9,1.3242216047,103.865898554,,,3218687
4101,BINJAI CREST,149 Jalan Kampong Chantek ,295,Strata,19-Sep-2017,Terrace House,99 Yrs From 13/12/1996,2004,Resale,21,58,587882,Central Region,Bukit Timah,2017-9,1.3439429401499998,103.788044732,,,1897294
4102,FAR HORIZON GARDENS,15 Ang Mo Kio Avenue 9  #02-05 ,107,Strata,19-Sep-2017,Condominium,99 Yrs From 08/03/1982,1986,Resale,20,56,569765,North East Region,Ang Mo Kio,2017-9,1.38308724625,103.839202809,2.0,5.0,799983
4103,VILLA VERDE,117 Verde View ,200,Land,19-Sep-2017,Terrace House,99 Yrs From 22/03/1997,2000,Resale,23,68,688715,West Region,Choa Chu Kang,2017-9,1.3899252448100001,103.752841726,,,1684364
4104,SERANGOON GARDEN ESTATE,22 Worthing Road ,280,Land,19-Sep-2017,Semi-Detached House,999 Yrs From 01/01/1955,Unknown,Resale,19,55,554956,North East Region,Serangoon,2017-9,1.36746815026,103.868106919,,,3624776
4105,SEASONS PARK,495 Yio Chu Kang Road  #08-04 ,97,Strata,19-Sep-2017,Condominium,99 Yrs From 01/03/1995,1997,Resale,26,78,787080,North East Region,Ang Mo Kio,2017-9,1.38462963785,103.839776931,8.0,4.0,881277
4106,ALEXIS,356 Alexandra Road  #04-50 ,47,Strata,19-Sep-2017,Apartment,Freehold,2012,Resale,3,15,159949,Central Region,Queenstown,2017-9,1.2911334055500001,103.807354817,4.0,50.0,843552
4107,BUCKLEY CLASSIQUE,11 Buckley Road  #04-08 ,131,Strata,19-Sep-2017,Condominium,Freehold,2014,Resale,11,30,309767,Central Region,Novena,2017-9,1.3183392815600001,103.840247948,4.0,8.0,2684005
4108,YEW MEI GREEN,52 Choa Chu Kang North 6  #15-24 ,120,Strata,19-Sep-2017,Executive Condominium,99 Yrs From 01/12/1997,2000,Resale,23,68,689575,West Region,Choa Chu Kang,2017-9,1.3949752822200001,103.751304625,15.0,24.0,922961
4109,RIVERSOUND RESIDENCE,7 Sengkang East Avenue  #03-19 ,44,Strata,19-Sep-2017,Condominium,99 Yrs From 26/08/2011,2015,Resale,19,54,544741,North East Region,Sengkang,2017-9,1.38062639115,103.90211388899999,3.0,19.0,549621
4110,HILLSTA,38 Phoenix Road ,312,Strata,18-Sep-2017,Terrace House,99 Yrs From 03/10/2011,2016,Resale,23,66,668187,West Region,Bukit Batok,2017-9,1.37625273474,103.865898554,,,2480775
4111,GLENTREES,11F Mount Sinai Lane  #05-24 ,185,Strata,18-Sep-2017,Condominium,999 Yrs From 17/09/1885,2005,Resale,10,27,277055,Central Region,Bukit Timah,2017-9,1.31704585456,103.784799388,5.0,24.0,2419979
4112,RIVERGATE,97 Robertson Quay  #08-09 ,162,Strata,18-Sep-2017,Apartment,Freehold,2009,Resale,9,23,238257,Central Region,Singapore River,2017-9,1.2909382484999998,103.836567176,8.0,9.0,3408740
4113,PARC ROSEWOOD,77 Rosewood Drive  #03-32 ,40,Strata,18-Sep-2017,Condominium,99 Yrs From 07/09/2011,2014,Resale,25,73,737786,North Region,Woodlands,2017-9,1.42835875589,103.78634040200001,3.0,32.0,524918
4114,THE SPRINGBLOOM,143 Serangoon Avenue 3  #05-02 ,135,Strata,18-Sep-2017,Condominium,99 Yrs From 01/03/1995,1999,Resale,19,55,556121,North East Region,Serangoon,2017-9,1.3508454939899999,103.863321284,5.0,2.0,1373831
4115,THE SPRINGSIDE,2 Springside Walk ,329,Land,18-Sep-2017,Terrace House,Freehold,2004,Resale,26,78,786465,North Region,Yishun,2017-9,1.4042520299899999,103.821610936,,,2737255
4116,WATERVIEW,89 Tampines Avenue 1  #14-35 ,105,Strata,18-Sep-2017,Condominium,99 Yrs From 16/06/2010,2014,Resale,18,52,528689,East Region,Tampines,2017-9,1.3487538424799999,103.926337529,14.0,35.0,1044249
4117,CHANGI COURT,698 Upper Changi Road East  #01-05 ,129,Strata,18-Sep-2017,Condominium,Freehold,1997,Resale,16,48,486828,East Region,Tampines,2017-9,1.3429319138,103.963194785,1.0,5.0,1306803
4118,CRESCENDO PARK,6 Jalan Tua Kong  #02-08 ,137,Strata,18-Sep-2017,Condominium,Freehold,1996,Resale,15,45,457269,East Region,Bedok,2017-9,1.31336049205,103.926212401,2.0,8.0,1533222
4119,VOLARI,12 Balmoral Road  #08-07 ,123,Strata,18-Sep-2017,Condominium,Freehold,2012,Resale,10,25,259820,Central Region,Newton,2017-9,1.31488980011,103.83292814100001,8.0,7.0,2844632
4120,THREE BALMORAL,3 Balmoral Road  #10-01 ,142,Strata,18-Sep-2017,Apartment,Freehold,2016,Resale,10,25,259785,Central Region,Tanglin,2017-9,1.31391201747,103.830467076,10.0,1.0,3090031
4121,MERA WOODS,136A Hillview Avenue  #08-03 ,125,Strata,18-Sep-2017,Condominium,999 Yrs From 12/10/1885,1999,Resale,23,66,669606,West Region,Bukit Batok,2017-9,1.35573938166,103.759143647,8.0,3.0,1337218
4122,SPRINGDALE CONDOMINIUM,49 Hindhede Walk  #06-06 ,103,Strata,18-Sep-2017,Condominium,999 Yrs From 21/06/1877,1998,Resale,21,58,587976,West Region,Bukit Panjang,2017-9,1.34819684743,103.771488847,6.0,6.0,1128120
4123,THE ARTE,23 Jalan Raja Udang  #17-07 ,130,Strata,18-Sep-2017,Condominium,Freehold,2010,Resale,12,32,329216,Central Region,Novena,2017-9,1.3283564513200001,103.842383221,17.0,7.0,1818750
4124,EAST SHINE,57 Lorong Melayu  #02-02 ,95,Strata,18-Sep-2017,Apartment,Freehold,2004,Resale,14,41,417026,East Region,Bedok,2017-9,1.3227872083399999,103.909820706,2.0,2.0,994520
4125,SIGNATURE PARK,50 Toh Tuck Road  #04-01 ,130,Strata,18-Sep-2017,Condominium,Freehold,1998,Resale,21,59,596741,Central Region,Bukit Timah,2017-9,1.34238808158,103.76836650700001,4.0,1.0,1415281
4126,THE CENTRIS,75 Jurong West Central 3  #15-23 ,126,Strata,18-Sep-2017,Apartment,99 Yrs From 21/06/2006,2009,Resale,22,64,648337,West Region,Jurong West,2017-9,1.33885375014,103.70472712899999,15.0,23.0,1358241
4127,LEEDON RESIDENCE,16 Leedon Heights  #01-22 ,428,Strata,18-Sep-2017,Condominium,Freehold,2015,Resale,10,26,267937,Central Region,Bukit Timah,2017-9,1.31276065819,103.80148207200001,1.0,22.0,8184207
4128,BEDOK RIA,28 Jalan Nipah ,164,Land,18-Sep-2017,Terrace House,Freehold,1990,Resale,16,48,488833,East Region,Bedok,2017-9,1.3261416256999998,103.865898554,,,2516249
4129,KOVAN GRANDEUR,118 Tampines Road  #04-13 ,36,Strata,18-Sep-2017,Apartment,99 Yrs From 10/08/2010,2011,Resale,19,53,535193,North East Region,Hougang,2017-9,1.36092102704,103.89206210200001,4.0,13.0,504922
4130,TANAH MERAH MANSION,137 Tanah Merah Kechil Road South  #01-06 ,119,Strata,18-Sep-2017,Condominium,Freehold,1984,Resale,16,46,466671,East Region,Bedok,2017-9,1.3218071037899999,103.94712558799999,1.0,6.0,999356
4131,PATERSON RESIDENCE,83 Paterson Road  #10-06 ,122,Strata,18-Sep-2017,Condominium,Freehold,2008,Resale,9,23,238549,Central Region,River Valley,2017-9,1.2999482363400001,103.83007203700001,10.0,6.0,2754937
4132,MELVILLE PARK,16 Simei Street 1  #02-15 ,87,Strata,18-Sep-2017,Condominium,99 Yrs From 01/09/1992,1996,Resale,18,52,529942,East Region,Tampines,2017-9,1.3496244221899998,103.959041201,2.0,15.0,685934
4133,ST THOMAS SUITES,33 St. Thomas Walk  #13-04 ,187,Strata,18-Sep-2017,Condominium,Freehold,2010,Resale,9,23,238113,Central Region,River Valley,2017-9,1.29792322809,103.83643127100001,13.0,4.0,3602234
4134,THE FOLIAGE,372 Pasir Panjang Road  #02-21 ,87,Strata,18-Sep-2017,Condominium,Freehold,2008,Resale,5,11,118709,Central Region,Queenstown,2017-9,1.29096985874,103.77403809200001,2.0,21.0,1084465
4135,KASTURINA LODGE,20 Kay Poh Road  #05-05 ,70,Strata,18-Sep-2017,Apartment,Freehold,1999,Resale,10,24,248969,Central Region,Tanglin,2017-9,1.29640232999,103.829750624,5.0,5.0,1128110
4136,N.A.,9 King'S Road ,252,Land,18-Sep-2017,Semi-Detached House,Freehold,1995,Resale,10,26,268058,Central Region,Bukit Timah,2017-9,1.3223820928799999,103.865898554,,,4031606
4137,EAST COAST RESIDENCES,412 Upper East Coast Road  #04-02 ,81,Strata,18-Sep-2017,Apartment,Freehold,2011,Resale,16,46,466488,East Region,Bedok,2017-9,1.3139937814700002,103.93973574200001,4.0,2.0,1014013
4138,ORCHID VILLAGE,29A Vanda Crescent ,469,Land,18-Sep-2017,Detached House,Freehold,2010,Resale,11,28,287923,Central Region,Bukit Timah,2017-9,1.33415481296,103.800263005,,,5717276
4139,PAVILION PARK,261 Pavilion Circle ,201,Land,18-Sep-2017,Terrace House,Freehold,2014,Resale,23,65,658272,West Region,Bukit Batok,2017-9,1.36824860289,103.865898554,,,3037949
4140,THE INGLEWOOD,58 The Inglewood ,170,Land,18-Sep-2017,Terrace House,Freehold,1990,Resale,20,57,575087,Central Region,Bishan,2017-9,1.36117754606,103.865898554,,,2629200
4141,SERANGOON GARDEN ESTATE,50 Bloxhome Drive ,260,Land,18-Sep-2017,Terrace House,999 Yrs From 01/01/1955,Unknown,Resale,19,55,559745,North East Region,Serangoon,2017-9,1.36288820912,103.862453389,,,2958574
4142,THE WARREN,45 Choa Chu Kang Loop  #09-14 ,110,Strata,18-Sep-2017,Condominium,99 Yrs From 21/06/2001,2004,Resale,23,68,689679,West Region,Choa Chu Kang,2017-9,1.3863168347100001,103.742394407,9.0,14.0,951720
4143,THE QUINTET,38 Choa Chu Kang Street 64  #13-05 ,120,Strata,18-Sep-2017,Executive Condominium,99 Yrs From 22/01/2003,2006,Resale,23,68,689102,West Region,Choa Chu Kang,2017-9,1.39859546303,103.750963991,13.0,5.0,949070
4144,FOUR SEASONS PARK,12 Cuscaden Walk  #02-04 ,206,Strata,18-Sep-2017,Condominium,Freehold,1994,Resale,10,24,249694,Central Region,River Valley,2017-9,1.30398909715,103.827867107,2.0,4.0,5134756
4145,THE INTERLACE,218 Depot Road  #18-74 ,298,Strata,18-Sep-2017,Condominium,99 Yrs From 11/02/2009,2013,Resale,4,10,109703,Central Region,Bukit Merah,2017-9,1.28289851778,103.803669866,18.0,74.0,3021637
4146,SELETAR HILLS ESTATE,24 Jalan Lekub ,292,Land,18-Sep-2017,Semi-Detached House,999 Yrs From 01/01/1879,Unknown,Resale,28,80,808745,North East Region,Serangoon,2017-9,1.38399394268,103.865898554,,,2690399
4147,CENTURY WOODS,46 Woodgrove Walk ,150,Land,18-Sep-2017,Terrace House,99 Yrs From 04/12/1996,2001,Resale,25,73,738189,North Region,Woodlands,2017-9,1.42754040832,103.775861284,,,1655452
4148,THE PEAK@BALMEG,15 Balmeg Hill  #01-25 ,160,Strata,18-Sep-2017,Condominium,Freehold,2011,Resale,5,11,119918,Central Region,Queenstown,2017-9,1.28278451642,103.784047075,1.0,25.0,2154245
4149,OPERA ESTATE,16 Dafne Street ,123,Land,18-Sep-2017,Terrace House,Freehold,Unknown,Resale,15,45,459536,East Region,Bedok,2017-9,1.32020157796,103.926900036,,,2016305
4150,GALLOP GABLES,72 Farrer Road  #05-03 ,256,Strata,18-Sep-2017,Condominium,Freehold,1997,Resale,10,26,268851,Central Region,Tanglin,2017-9,1.31520388113,103.80761997200001,5.0,3.0,4246867
4151,REFLECTIONS AT KEPPEL BAY,29 Keppel Bay View  #13-86 ,93,Strata,18-Sep-2017,Condominium,99 Yrs From 15/03/2006,2011,Resale,4,9,98417,Central Region,Bukit Merah,2017-9,1.26661898779,103.810371341,13.0,86.0,1770059
4152,CRYSTAL RHU,8A Tanjong Rhu Road  #12-01 ,118,Strata,15-Sep-2017,Apartment,Freehold,1999,Resale,15,43,436889,Central Region,Kallang,2017-9,1.29884371929,103.88383147200001,12.0,1.0,1585895
4153,HARBOURLIGHTS,68 Telok Blangah Road  #05-02 ,116,Strata,15-Sep-2017,Apartment,Freehold,1997,Resale,4,9,98865,Central Region,Bukit Merah,2017-9,1.2665601043899999,103.82289252,5.0,2.0,1603085
4154,NOTTINGHILL SUITES,29A Toh Tuck Road  #03-13 ,37,Strata,15-Sep-2017,Apartment,Freehold,2014,Resale,21,59,596195,Central Region,Bukit Timah,2017-9,1.33910544244,103.76915858299999,3.0,13.0,534450
4155,WEST BAY CONDOMINIUM,60 West Coast Crescent  #01-07 ,81,Strata,15-Sep-2017,Condominium,99 Yrs From 01/03/1991,1993,Resale,5,12,128040,West Region,Clementi,2017-9,1.2990397191399998,103.76547522,1.0,7.0,814907
4156,CHARLTON 18,43 Charlton Lane ,339,Strata,15-Sep-2017,Terrace House,Freehold,2016,Resale,19,53,534005,North East Region,Hougang,2017-9,1.35672219569,103.865898554,,,2665351
4157,ECO SANCTUARY,65 Chestnut Avenue  #24-15 ,164,Strata,15-Sep-2017,Condominium,99 Yrs From 25/04/2012,2016,Resale,23,67,679524,West Region,Bukit Panjang,2017-9,1.37084569137,103.775719037,24.0,15.0,1673747
4158,THE COUNTRYSIDE,169 Countryside Road ,318,Land,15-Sep-2017,Semi-Detached House,Freehold,1998,Resale,26,78,786893,North East Region,Ang Mo Kio,2017-9,1.38721518665,103.84020191100001,,,3208812
4159,THE FLORAVALE,244 Westwood Avenue  #14-55 ,207,Strata,15-Sep-2017,Executive Condominium,99 Yrs From 16/12/1997,2000,Resale,22,64,648366,West Region,Jurong West,2017-9,1.35061627384,103.69746395799999,14.0,55.0,1112875
4160,8@WOODLEIGH,6 Woodleigh Close  #02-09 ,88,Strata,15-Sep-2017,Condominium,99 Yrs From 22/09/2008,2012,Resale,13,35,357902,Central Region,Toa Payoh,2017-9,1.33590198629,103.869276599,2.0,9.0,1189083
4161,LUSH ON HOLLAND HILL,21 Holland Hill  #07-06 ,137,Strata,15-Sep-2017,Condominium,Freehold,2012,Resale,10,27,278737,Central Region,Bukit Timah,2017-9,1.30887656189,103.800465611,7.0,6.0,2166490
4162,HUNDRED TREES,89 West Coast Drive  #11-17 ,137,Strata,15-Sep-2017,Condominium,956 Yrs From 27/05/1928,2013,Resale,5,12,128016,West Region,Clementi,2017-9,1.3147124185799999,103.759055049,11.0,17.0,1810740
